feature,missing_fraction
SessionPart,1.0
lap_time_delta_to_stint_median,1.0
stint_median_lap_seconds,1.0
Compound,0.0
Driver,0.0
LapNumber,0.0
LapTimeSeconds,0.0
Stint,0.0
Team,0.0
TrackStatus,0.0
TyreLife,0.0
accurate,0.0
brake_active_frac,0.0
brake_max,0.0
brake_mean,0.0
brake_min,0.0
brake_on_count,0.0
brake_std,0.0
drs_active_frac,0.0
dry_session,0.0
event_name,0.0
first_brake_frac_pos,0.0
gear_change_count,0.0
gear_max,0.0
gear_mean,0.0
gear_min,0.0
gear_std,0.0
lap_key,0.0
lap_time_not_null,0.0
last_brake_frac_pos,0.0
n_samples,0.0
not_deleted,0.0
not_fastf1_generated,0.0
not_pit_in_out,0.0
round,0.0
rpm_diff_abs_mean,0.0
rpm_diff_mean,0.0
rpm_diff_std,0.0
rpm_max,0.0
rpm_mean,0.0
rpm_min,0.0
rpm_std,0.0
season,0.0
session_key,0.0
session_name,0.0
speed_diff_abs_mean,0.0
speed_diff_mean,0.0
speed_diff_std,0.0
speed_max,0.0
speed_mean,0.0
speed_min,0.0
speed_q10,0.0
speed_q50,0.0
speed_q90,0.0
speed_range,0.0
speed_std,0.0
throttle_diff_abs_mean,0.0
throttle_diff_mean,0.0
throttle_diff_std,0.0
throttle_full_frac,0.0
throttle_max,0.0
throttle_mean,0.0
throttle_mid_frac,0.0
throttle_min,0.0
throttle_std,0.0
throttle_zero_frac,0.0
track_status_green,0.0
within_2s_of_stint_median,0.0
within_3s_of_stint_median,0.0
