subset_name,config_name,config_type,n_features,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,family,full_oof_accuracy,full_oof_macro_f1,full_mean_accuracy_gap,full_mean_macro_f1_gap,delta_oof_accuracy_vs_full,delta_oof_macro_f1_vs_full,delta_accuracy_gap_vs_full,delta_macro_f1_gap_vs_full
distinctive_top5,full_model,full,64,0.9899250136148465,0.8571717171717171,0.13275329644312933,0.9898601002540344,0.8586588368153585,0.13120126343867594,0.8571428571428571,0.856969696969697,0.8584197001277438,all,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,0.0,0.0,0.0,0.0
distinctive_top5,only_context,family_only,3,0.22160780863809645,0.18673400673400672,0.034873801904089716,0.17807647234373775,0.12897172162040788,0.04910475072332989,0.18681318681318682,0.18653198653198652,0.15382132357182257,context,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.6703296703296703,-0.7045983765559213,-0.09787949453903962,-0.08209651271534604
distinctive_top5,only_speed,family_only,11,0.26099451216957814,0.24915824915824913,0.011836263011328984,0.2450206647140584,0.2234009824744904,0.021619682239567995,0.2490842490842491,0.24835016835016838,0.23932596567945405,speed,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.608058608058608,-0.6190937344482897,-0.12091703343180035,-0.10958158119910795
distinctive_top5,only_throttle,family_only,13,0.6400946755477358,0.585925925925926,0.05416874962180984,0.6308097578660611,0.5760835626379974,0.054726195228063615,0.5860805860805861,0.5853872053872053,0.5759685001084741,throttle,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.271062271062271,-0.2824512000192697,-0.07858454682131949,-0.07647506821061233
distinctive_top5,only_brake,family_only,6,0.3159356541410079,0.2967003367003367,0.019235317440671217,0.2917746613321068,0.26655614878738815,0.025218512544718585,0.2967032967032967,0.2960942760942761,0.26862230923157693,brake,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.5604395604395604,-0.5897973908961669,-0.11351797900245811,-0.10598275089395735
distinctive_top5,only_powertrain,family_only,12,0.5356834652926145,0.4941414141414141,0.04154205115120037,0.5314856340221799,0.49066538829422124,0.04082024572795857,0.4945054945054945,0.4952188552188552,0.490719184409455,powertrain,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.36263736263736257,-0.3677005157182888,-0.09121124529192896,-0.09038101771071737
distinctive_top5,only_phase,family_only,4,0.21885551506011475,0.21245791245791246,0.0063976026022023345,0.18018125210112573,0.1639875599808421,0.016193692120283605,0.21245421245421245,0.21272727272727274,0.1938980036459028,phase,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.6446886446886446,-0.664521696481841,-0.12635569384092699,-0.11500757131839234
distinctive_top5,only_dynamics,family_only,15,0.7005613505927695,0.6156228956228956,0.08493845496987384,0.7020267964972025,0.6138134753819436,0.0882133211152587,0.6153846153846154,0.6152861952861953,0.616331138040586,dynamics,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.24175824175824168,-0.2420885620871578,-0.04781484147325549,-0.04298794232341724
distinctive_top5,only_controls,family_only,23,0.7774998952704119,0.7289562289562289,0.04854366631418283,0.7755823400916155,0.7271237822944916,0.048458557797124026,0.7289377289377289,0.7284848484848485,0.728478254428831,controls,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.1282051282051282,-0.12994144569891286,-0.0842096301289465,-0.08274270564155192
distinctive_top5,only_vehicle_state,family_only,38,0.9459637216706464,0.8057912457912458,0.1401724758794006,0.9458427955746413,0.8033712892751794,0.14247150629946195,0.8058608058608059,0.8055892255892256,0.8046747396734425,vehicle_state,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,-0.05128205128205121,-0.05374496045430133,0.007419179436271267,0.011270242860786012
distinctive_top5,no_context,leave_one_out,61,0.9880943404130536,0.8571717171717171,0.13092262324133636,0.9880388625466605,0.8588435911914173,0.12919527135524328,0.8571428571428571,0.8568350168350168,0.8583714164296689,context,0.8571428571428571,0.8584197001277438,0.13275329644312933,0.13120126343867594,0.0,-4.828369807496902e-05,-0.001830673201792976,-0.0020059920834326617
